address,label
0x000000000000000000000000000000000000dead,Ethereum canonical burn address
0x0000000000000000000000000000000000000000,Zero address (null address)
0x0000000000000000000000000000000000000001,Reserved address (0x1)
0x0000000000000000000000000000000000000002,Reserved address (0x2)
0x0000000000000000000000000000000000000003,Reserved address (0x3)
0x0000000000000000000000000000000000000004,Reserved address (0x4)
0x0000000000000000000000000000000000000005,Reserved address (0x5)
0x0000000000000000000000000000000000000006,Reserved address (0x6)
0x0000000000000000000000000000000000000007,Reserved address (0x7)
0x0000000000000000000000000000000000000008,Reserved address (0x8)
0x0000000000000000000000000000000000000009,Reserved address (0x9)
0x00000000000000000000045261d4ee77acdb3286,Likely anonymized or placeholder address
0x0123456789012345678901234567890123456789,Test/example address (sequential digits)
0x1111111111111111111111111111111111111111,Vanity/test address (repeating 1s)
0x1234567890123456789012345678901234567890,Test/example address (hex counter)
0x2222222222222222222222222222222222222222,Vanity/test address (repeating 2s)
0x3333333333333333333333333333333333333333,Vanity/test address (repeating 3s)
0x4444444444444444444444444444444444444444,Vanity/test address (repeating 4s)
0x5555555555555555555555555555555555555555,Vanity/test address (repeating 5s)
0x6666666666666666666666666666666666666666,Vanity/test address (repeating 6s)
0x7777777777777777777777777777777777777777,Vanity/test address (repeating 7s)
0x8888888888888888888888888888888888888888,Vanity/test address (repeating 8s)
0x9999999999999999999999999999999999999999,Vanity/test address (repeating 9s)
0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Vanity/test address (repeating As)
0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,Vanity/test address (repeating Bs)
0xcccccccccccccccccccccccccccccccccccccccc,Vanity/test address (repeating Cs)
0xdddddddddddddddddddddddddddddddddddddddd,Vanity/test address (repeating Ds)
0xdead000000000000000042069420694206942069,Meme burn address (dead; 420; 69)
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Vanity/test address (repeating Es)
0xffffffffffffffffffffffffffffffffffffffff,Max address (all bits set)
0xdeaddeaddeaddeaddeaddeaddeaddeaddeaddead,